label,review_text,clean_text,sentiment
2,be careful with size: Great boot. Seems like it ran large. I usually wear a size 9 athletic shoe and sandal but this 9 swallowed my foot whole. Maybe it's becasue my foot is a bit narrow. No trouble returning and swapping for an 8 1/2. Solestruck is an excellent company to deal with. Great customer service!!I love these boots!,be careful with size great boot seems like it ran large i usually wear a size 9 athletic shoe and sandal but this 9 swallowed my foot whole maybe it s becasue my foot is a bit narrow no trouble returning and swapping for an 8 1 2 solestruck is an excellent company to deal with great customer service i love these boots,2
2,"Long Live Rock: I did not expect much since John Entwistle & Keith Moon have passed away but was I surprised at the energy, passion & innovativeness of this masterpiece.It's an 11.26 minute song & plenty to digest but WOW what a new phase of The Who.It you like The Who's ""A Quick One While He's Away"" 1966 you'll love this mini opera.I think it's the best studio work The Who has done since Quadrophenia.Must have & can'y wait to hear it live, since The Who really make there songs come to life on stage!Cutting edge Rock & Roll!",long live rock i did not expect much since john entwistle keith moon have passed away but was i surprised at the energy passion innovativeness of this masterpiece it s an 11 26 minute song plenty to digest but wow what a new phase of the who it you like the who s a quick one while he s away 1966 you ll love this mini opera i think it s the best studio work the who has done since quadrophenia must have can y wait to hear it live since the who really make there songs come to life on stage cutting edge rock roll,2
2,"Good Best Of Collection.....: ....but WHY ON EARTH did they edit out the 30 second begining of ""I Hear You Now"" ???? OH! I just Hate when they do things like that!!!Otherwise....very satisfied.The old geezer",good best of collection but why on earth did they edit out the 30 second begining of i hear you now oh i just hate when they do things like that otherwise very satisfied the old geezer,2
1,Worst phone ever: Bought this phone right when 2.4 GHz phones came out. I thought it would be an upgrade over 900 MHz phones. Boy was I wrong. The static on this thing is ridiculous. You will be talking with someone and all of a sudden its 95% static. Completely annoying...recommendation: AVOID AT ALL COSTS.,worst phone ever bought this phone right when 2 4 ghz phones came out i thought it would be an upgrade over 900 mhz phones boy was i wrong the static on this thing is ridiculous you will be talking with someone and all of a sudden its 95 static completely annoying recommendation avoid at all costs,1
1,I'm disappointed Billy!: This tape was a real disappointment to me. As a huge Billy Blanks fan I was expecting more. The filming was very poor and the tape was slow moving and boring. I only made it through it twice. The workout was okay but nothing spectacular. The aerobic segment was impossible for me to follow.,i m disappointed billy this tape was a real disappointment to me as a huge billy blanks fan i was expecting more the filming was very poor and the tape was slow moving and boring i only made it through it twice the workout was okay but nothing spectacular the aerobic segment was impossible for me to follow,1
1,"If you want your kid to end up on welfare read them this book...: The message in this book is reflective of the overall tone of American society these days: ""Don't have ambition or push yourself, simply settle for what makes you comfortable and you'll be happy."" The book blatantly puts a negative spin on the characters in the book that are striving to push themselves outside of their comfort zone and grow in some fashion. I know some of you are thinking ""hey man, it's a kids book, lighten up"", but you know as well as I that our kids minds are very malleable at a young age and messages like this can and will shape their worldviews as they grow up. Imagine an entire generation of people who refused to push themselves because it was too hard or too uncomfortable. This nation rose to the top for the very reason that people pushed themselves and took risks that were uncomfortable. My recommendation: if you see this book, burn it.",if you want your kid to end up on welfare read them this book the message in this book is reflective of the overall tone of american society these days don t have ambition or push yourself simply settle for what makes you comfortable and you ll be happy the book blatantly puts a negative spin on the characters in the book that are striving to push themselves outside of their comfort zone and grow in some fashion i know some of you are thinking hey man it s a kids book lighten up but you know as well as i that our kids minds are very malleable at a young age and messages like this can and will shape their worldviews as they grow up imagine an entire generation of people who refused to push themselves because it was too hard or too uncomfortable this nation rose to the top for the very reason that people pushed themselves and took risks that were uncomfortable my recommendation if you see this book burn it,1
1,Horrible choice to play Audrey: Very disappointing! They could have chosen a more poised and sophisticated actress to play Audrey; Jennifer Love Hewitt's portrayal is an insult; in my opinion.,horrible choice to play audrey very disappointing they could have chosen a more poised and sophisticated actress to play audrey jennifer love hewitt s portrayal is an insult in my opinion,1
1,"Not what I was expecting: An important part of window DIY is the glazing. I was surprised to see the author's very brief comments on the subject and recommended having glazing done by a hardware store or glazier. Basic book that I knew most of already or got the same information from the instructions on the back of the glazing can. Drawings were sketchy and of little use. I didn't care much for the writing style: notes stuck in the text, folksy language, similar subjects spread out in the book rather than grouped under a single heading and referred back to in other parts of the book. I am returning the book.",not what i was expecting an important part of window diy is the glazing i was surprised to see the author s very brief comments on the subject and recommended having glazing done by a hardware store or glazier basic book that i knew most of already or got the same information from the instructions on the back of the glazing can drawings were sketchy and of little use i didn t care much for the writing style notes stuck in the text folksy language similar subjects spread out in the book rather than grouped under a single heading and referred back to in other parts of the book i am returning the book,1
2,It's a good c.d with great songs.: Enrique is a the top of his singing career. He abot tops his dad Julio another great sesation Enrique really knows how to modivate by the way he can sing. Ricky Martin does not even sing that well.,it s a good c d with great songs enrique is a the top of his singing career he abot tops his dad julio another great sesation enrique really knows how to modivate by the way he can sing ricky martin does not even sing that well,2
2,"heart is stiil beating: heart is still beating after all these years. yes, they did have hits in the '70s with magic man, dreamboat annie,baracuda,straight on,and dog and butterfly. yes, by the early '80s, they didn't have anymore hits,but that's how the music business goes. yes, by 1985,they were ready to strike again. yws,they did have 4 top 10 hits from this great album.those hits were what about love(#10),never(#4),these dreams(#1),and nothin' at all(#10). yes,this album did hit #1 and sell in the millions. does that answer all of your questions? yes,this review is over. thank you and have fun. ed wilson",heart is stiil beating heart is still beating after all these years yes they did have hits in the 70s with magic man dreamboat annie baracuda straight on and dog and butterfly yes by the early 80s they didn t have anymore hits but that s how the music business goes yes by 1985 they were ready to strike again yws they did have 4 top 10 hits from this great album those hits were what about love 10 never 4 these dreams 1 and nothin at all 10 yes this album did hit 1 and sell in the millions does that answer all of your questions yes this review is over thank you and have fun ed wilson,2
